ring,n_pixels,pre_mean,post_mean,delta
0-50m,1744,0.8376027331804281,0.5590412361763762,-0.2785614970040519
50-100m,1755,0.7236657169990504,0.5161384012823509,-0.20752731571669944
100-250m,3267,0.6373188960310172,0.47071691211776273,-0.1666019839132545
250-500m,2923,0.5549468093771891,0.42290168097017583,-0.13204512840701327
500-1000m,411,0.5089749160004634,0.4022274635605408,-0.10674745243992265
