date,index,mean,std,p10,p25,p50,p75,p90
11 Feb 2025,NDVI,0.4745110869407654,0.171077698469162,0.23411370813846588,0.3362930119037628,0.4883720874786377,0.613882839679718,0.6957442760467529
11 Feb 2025,GNDVI,0.41251125931739807,0.12921199202537537,0.24533715844154358,0.33131617307662964,0.4244946539402008,0.5036674737930298,0.5701943635940552
11 Feb 2025,NDWI,-0.41251125931739807,0.12921199202537537,-0.5701943635940552,-0.5036674737930298,-0.4244946539402008,-0.33131617307662964,-0.24533715844154358
11 Feb 2025,NDRE,0.13096293807029724,0.07116758823394775,0.04749999940395355,0.08229426294565201,0.128742516040802,0.17615176737308502,0.2249443233013153
11 Feb 2025,CIre,0.3193502426147461,0.9363193511962891,0.09973752498626709,0.17934787273406982,0.2955327033996582,0.4276316165924072,0.580459713935852
11 Feb 2025,NDYI,0.0077045694924890995,0.11484374850988388,-0.1538461595773697,-0.059633027762174606,0.01826483942568302,0.08287292718887329,0.14576271176338196
11 Feb 2025,PSRI,0.046483833342790604,0.35469189286231995,-0.06374949961900711,-0.018987340852618217,0.03490401431918144,0.12060301750898361,0.18913857638835907
11 Feb 2025,WVI,0.029183847829699516,0.0376599095761776,-0.00888450164347887,0.009925558231770992,0.02805429883301258,0.046994537115097046,0.06896551698446274
11 Feb 2025,EVI,0.3464689254760742,0.16144952178001404,0.14161624014377594,0.2141236960887909,0.3359372019767761,0.46176642179489136,0.5694127082824707
11 Feb 2025,SAVI,0.2913343012332916,0.12034120410680771,0.13228614628314972,0.19556374847888947,0.2903492748737335,0.3795226812362671,0.4527673125267029
11 Feb 2025,BSI,-0.2818128168582916,0.15144607424736023,-0.4864855706691742,-0.39951902627944946,-0.2852708399295807,-0.15577857196331024,-0.08159984648227692
27 May 2025,NDVI,0.5845347046852112,0.08891922235488892,0.46965131163597107,0.5450286865234375,0.6035089492797852,0.6463069915771484,0.6756532192230225
27 May 2025,GNDVI,0.4531068205833435,0.07090996205806732,0.3623802363872528,0.4153329133987427,0.4628743529319763,0.5029640793800354,0.5328953266143799
27 May 2025,NDWI,-0.4531068205833435,0.07090996205806732,-0.5328953266143799,-0.5029640793800354,-0.4628743529319763,-0.4153329133987427,-0.3623802363872528
27 May 2025,NDRE,0.1789667308330536,0.04358697310090065,0.12634027004241943,0.1526063084602356,0.1796281337738037,0.2065535932779312,0.2321372926235199
27 May 2025,CIre,0.4427938163280487,0.12932835519313812,0.2892207205295563,0.3601780831813812,0.4379187822341919,0.5206490755081177,0.6046322584152222
27 May 2025,NDYI,-0.04235333204269409,0.04475530609488487,-0.09272681921720505,-0.0709955170750618,-0.04592552036046982,-0.019382860511541367,0.008093034848570824
27 May 2025,PSRI,-0.019456639885902405,0.03576972335577011,-0.04764164239168167,-0.03744979947805405,-0.027003604918718338,-0.010969581082463264,0.014332680031657219
27 May 2025,WVI,0.07395823299884796,0.015486536547541618,0.05531252175569534,0.0646284967660904,0.0741656944155693,0.08358198404312134,0.09194999933242798
27 May 2025,EVI,0.6263997554779053,0.13692300021648407,0.44085216522216797,0.5470868945121765,0.6418131589889526,0.7246958613395691,0.7886759042739868
27 May 2025,SAVI,0.440335750579834,0.08424368500709534,0.32733920216560364,0.3934208154678345,0.45045167207717896,0.5005511045455933,0.538703978061676
27 May 2025,BSI,-0.370918869972229,0.08005864918231964,-0.4577663838863373,-0.4269641041755676,-0.3849191665649414,-0.3306826949119568,-0.26789188385009766
