date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,aoi_covered,in_clean_set,flags
2017-06-28,sentinel2,S2A_MSIL2A_20170628T075211_N0500_R092_T37MCU_20230913T135902.SAFE,PRE,81.65322580645162,,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|PRE_INTERVENTION
2017-07-18,sentinel2,S2A_MSIL2A_20170718T075211_N0500_R092_T37MCU_20230911T214820.SAFE,PRE,,,True,False,NO_DATA
2017-08-12,sentinel2,S2B_MSIL2A_20170812T073609_N0500_R092_T37MCU_20231004T151359.SAFE,PRE,26.310483870967737,,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2017-08-17,sentinel2,S2A_MSIL2A_20170817T073611_N0500_R092_T37MCU_20231005T182149.SAFE,PRE,9.173387096774189,,True,True,PRE_INTERVENTION
2017-08-22,sentinel2,S2B_MSIL2A_20170822T075209_N0500_R092_T37MCU_20230829T173731.SAFE,PRE,,,True,False,NO_DATA
2017-08-27,sentinel2,S2A_MSIL2A_20170827T075211_N0500_R092_T37MCU_20230831T222100.SAFE,PRE,0.0,,True,True,PRE_INTERVENTION
2017-09-01,sentinel2,S2B_MSIL2A_20170901T073609_N0500_R092_T37MCU_20230927T135844.SAFE,PRE,,,True,False,NO_DATA
2017-09-06,sentinel2,S2A_MSIL2A_20170906T073611_N0500_R092_T37MCU_20230927T092732.SAFE,PRE,0.0,,True,True,PRE_INTERVENTION
2017-09-16,sentinel2,S2A_MSIL2A_20170916T075211_N0500_R092_T37MCU_20230829T191939.SAFE,PRE,66.83467741935483,,True,False,HIGH_AOI_CLOUD|PRE_INTERVENTION
2017-09-26,sentinel2,S2A_MSIL2A_20170926T073641_N0500_R092_T37MCU_20231015T013055.SAFE,PRE,0.0,,True,True,PRE_INTERVENTION
2017-10-01,sentinel2,S2B_MSIL2A_20171001T075159_N0500_R092_T37MCU_20230818T084511.SAFE,PRE,0.0,,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2017-10-06,sentinel2,S2A_MSIL2A_20171006T075211_N0500_R092_T37MCU_20230829T130008.SAFE,PRE,0.0,,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2017-10-11,sentinel2,S2B_MSIL2A_20171011T073819_N0500_R092_T37MCU_20231016T152933.SAFE,PRE,,,True,False,NO_DATA
2017-10-16,sentinel2,S2A_MSIL2A_20171016T073911_N0500_R092_T37MCU_20231013T205731.SAFE,PRE,,,True,False,NO_DATA
2017-10-31,sentinel2,S2B_MSIL2A_20171031T074029_N0500_R092_T37MCU_20231015T042419.SAFE,PRE,0.0,,True,True,OUT_OF_SEASON|PRE_INTERVENTION
2017-11-15,sentinel2,S2A_MSIL2A_20171115T075211_N0500_R092_T37MCU_20231013T164413.SAFE,PRE,69.25403225806453,,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|PRE_INTERVENTION
2017-11-25,sentinel2,S2A_MSIL2A_20171125T074231_N0500_R092_T37MCU_20231018T175601.SAFE,PRE,2.4193548387096753,,True,True,OUT_OF_SEASON|PRE_INTERVENTION
