date,source,image_id,pre_post,aoi_cloud_pct,tile_cloud_pct,aoi_covered,in_clean_set,flags
2024-03-15,sentinel1,S1A_IW_GRDH_1SDV_20240314T154817_20240314T154842_052979_0669D7_B96B,POST,0.0,,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-03-18,sentinel2,20240318T073629_20240318T080000_T37MCU,POST,8.33,35.507211,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-03-23,sentinel2,20240323T073611_20240323T075510_T37MCU,POST,70.33,33.087617,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|POST_INTERVENTION
2024-03-27,sentinel1,S1A_IW_GRDH_1SDV_20240326T154816_20240326T154841_053154_067094_4354,POST,0.0,,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-04-07,sentinel2,20240407T073609_20240407T075435_T37MCU,POST,0.0,33.000442,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-04-08,sentinel1,S1A_IW_GRDH_1SDV_20240407T154817_20240407T154842_053329_06774F_1E4A,POST,0.0,,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-04-12,sentinel2,20240412T073611_20240412T075550_T37MCU,POST,50.02,47.439823,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|POST_INTERVENTION
2024-04-17,sentinel2,20240417T073619_20240417T075438_T37MCU,POST,97.56,41.918138,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|POST_INTERVENTION
2024-04-20,sentinel1,S1A_IW_GRDH_1SDV_20240419T154818_20240419T154843_053504_067E41_82DA,POST,0.0,,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-04-22,sentinel2,20240422T073621_20240422T075353_T37MCU,POST,0.0,21.921282,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-04-27,sentinel2,20240427T073609_20240427T075435_T37MCU,POST,0.77,49.99772,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-05-02,sentinel1,S1A_IW_GRDH_1SDV_20240501T154818_20240501T154843_053679_068517_87A8,POST,0.0,,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-05-12,sentinel2,20240512T073621_20240512T075440_T37MCU,POST,39.56,57.498574,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|POST_INTERVENTION
2024-05-14,sentinel1,S1A_IW_GRDH_1SDV_20240513T154818_20240513T154843_053854_068B9E_234F,POST,0.0,,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-05-22,sentinel2,20240522T073611_20240522T075128_T37MCU,POST,100.0,43.734586,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|POST_INTERVENTION
2024-05-26,sentinel1,S1A_IW_GRDH_1SDV_20240525T154818_20240525T154843_054029_0691A0_29F5,POST,0.0,,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-05-27,sentinel2,20240527T073609_20240527T075436_T37MCU,POST,0.0,15.800671,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-06-01,sentinel2,20240601T075531_20240601T075819_T37MCU,POST,99.49,16.070886,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|POST_INTERVENTION
2024-06-07,sentinel1,S1A_IW_GRDH_1SDV_20240606T154817_20240606T154842_054204_0697AA_1063,POST,0.0,,True,True,OUT_OF_SEASON|POST_INTERVENTION
2024-06-11,sentinel2,20240611T073621_20240611T075436_T37MCU,POST,33.2,21.238881,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|POST_INTERVENTION
2024-06-16,sentinel2,20240616T073619_20240616T075439_T37MCU,POST,100.0,1.236711,True,False,OUT_OF_SEASON|HIGH_AOI_CLOUD|POST_INTERVENTION
2024-06-19,sentinel1,S1A_IW_GRDH_1SDV_20240618T154817_20240618T154842_054379_069DB5_E898,POST,0.0,,True,True,OUT_OF_SEASON|POST_INTERVENTION
